"frame"	"timestamp"	"original_position"	"position"	"delta_x"	"delta_z"	"left_rotation"	"left_x"	"left_y"	"left_z"	"right_rotation"	"right_x"	"right_y"	"right_z"	"base_opacity"	"left_opacity"	"right_opacity"	"auto_tick"	"auto_duration"	"auto_spacing"	"framerate"	"A_button"	"B_button"	"right_trigger"
2971	83	(-1.6, 1.0, 0.0)	(5.0, 1.0, 0.4)	6.571637	0.4115814	(-0.1, 0.4, 0.0, 0.9)	-10.5838	48.36647	-4.763641	(-0.1, 0.4, 0.0, 0.9)	349.4162	48.36647	355.2364	1	1	1	False	0	0	39.44636	False	False	0
3005	84	(-1.6, 1.0, 0.0)	(4.9, 1.0, 0.2)	6.506157	0.2439484	(-0.1, 0.4, 0.1, 0.9)	-15.22592	47.1211	6.009006	(-0.1, 0.4, 0.1, 0.9)	344.7741	47.1211	6.009006	1	0.185302	0.185302	False	0	0	35.20704	False	True	0
3038	85	(-1.6, 1.0, 0.0)	(5.0, 1.0, 0.4)	6.627251	0.4445474	(0.0, 0.7, 0.1, 0.7)	-8.129669	89.41537	8.21278	(0.0, 0.7, 0.1, 0.7)	351.8703	89.41537	8.21278	1	0.005726417	0.005726417	False	0	0	30.38218	False	True	0
3071	86	(-1.6, 1.0, 0.0)	(5.1, 1.0, 0.5)	6.671569	0.5179642	(0.2, 0.7, -0.2, 0.6)	33.99633	99.70666	2.97373	(0.2, 0.7, -0.2, 0.6)	33.99633	99.70666	2.97373	1	0.0001769643	0.0001769643	False	0	0	34.03341	False	True	0
3108	87	(-1.6, 1.0, 0.0)	(6.3, 1.0, 0.6)	7.926216	0.5797195	(0.2, 0.7, -0.1, 0.7)	24.06464	91.82797	8.560891	(0.2, 0.7, -0.1, 0.7)	24.06464	91.82797	8.560891	1	3.58805E-06	3.58805E-06	False	0	0	36.52057	False	True	0
3143	88	(-1.6, 1.0, 0.0)	(9.3, 1.0, 0.5)	10.92415	0.5504676	(0.0, 0.8, 0.0, 0.7)	0	97.62814	0	(0.0, 0.8, 0.0, 0.7)	0	97.62814	0	1	0.8784235	0.8784235	False	0	0	35.97334	False	False	0
3181	89	(-1.6, 1.0, 0.0)	(9.1, 1.0, 0.1)	10.7153	0.143448	(0.2, 0.7, -0.2, 0.7)	31.89079	90	0	(0.2, 0.7, -0.2, 0.7)	31.89079	90	0	1	0.02559431	0.02559431	False	0	0	36.24451	False	True	0
3221	90	(-1.6, 1.0, 0.0)	(9.2, 1.0, 0.0)	10.8001	0.01206208	(0.1, 0.7, -0.1, 0.7)	16.26021	90.00001	0	(0.1, 0.7, -0.1, 0.7)	16.26021	90.00001	0	1	0.0003783065	0.0003783065	False	0	0	39.97989	False	True	0
3260	91	(-1.6, 1.0, 0.0)	(9.9, 1.0, 0.0)	11.54978	0.005583299	(0.1, 0.7, -0.1, 0.7)	16.26021	90.00001	0	(0.1, 0.7, -0.1, 0.7)	16.26021	90.00001	0	1	6.213003E-06	6.213003E-06	False	0	0	35.4548	False	True	0
3301	92	(-1.6, 1.0, 0.0)	(11.1, 1.0, 0.1)	12.68466	0.1367267	(0.0, 0.8, 0.1, 0.6)	-9.11496	105.7086	6.911227	(0.0, 0.8, 0.1, 0.6)	350.885	105.7086	6.911227	1	8.265028E-08	8.265028E-08	False	0	0	39.30442	False	True	0
3344	93	(-1.6, 1.0, 0.0)	(11.4, 1.0, 0.2)	13.01792	0.1785174	(0.0, 1.0, 0.2, 0.1)	-22.39267	168.1113	2.361375	(0.0, 1.0, 0.2, 0.1)	337.6073	168.1113	2.361375	1	8.905783E-10	8.905783E-10	False	0	0	41.07221	False	True	0
3382	94	(-1.6, 1.0, 0.0)	(11.6, 1.0, 0.1)	13.2043	0.1750996	(0.0, 1.0, 0.0, -0.1)	0	-168.5788	0	(0.0, 1.0, 0.0, -0.1)	0	191.4212	0	1	1.625127E-11	1.625127E-11	False	0	0	37.04755	False	True	0
